true_code;RA_g;RA_h;PER_1;SDPRO_std;DI_an;DI_ex;DI_ez;DI_hd;DI_w_short;RSD_05;RSD_510;ldmc
HIESCA;0;1;0;NA;0;0;0;1;0;NA;NA;NA
HUPLUC;NA;NA;0;NA;NA;NA;NA;NA;1;1;1;NA
HYDVIR;0;1;0;0;0;0;0;0;0;1;0;123.511669700117
HYSPAT;0;1;0;NA;NA;NA;NA;NA;1;NA;NA;201.724137931034
IMPCAP;0;1;1;0;0;1;0;0;0;1;0;100.472032240561
IMPPAR;0;0;1;NA;0;1;0;0;0;NA;NA;NA
INC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Fern;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Forb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Gram;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Shrub;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
JUGNIG;0;0;0;2;0;0;1;0;0;0;0;NA
LAPCAN;1;0;0;NA;0;0;0;0;0;NA;NA;133.100192733379
LEOCAR;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lonicera.sp.;0;0;0;2;0;0;1;1;0;0;1;283.049292554372
LONMOR;NA;NA;0;NA;NA;NA;1;1;NA;NA;NA;NA
LONTAT;0;0;0;2;0;0;1;1;0;NA;NA;NA
LYCOBS;0;0;0;NA;0;0;0;0;1;0;1;NA
Lycopodium.sp.;0;0;0;2;0;0;0;0;1;NA;NA;NA
LYSCIL;0;1;0;NA;0;0;0;0;0;NA;NA;NA
LYSPUN;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;136.132481418699
MAICAN;0;1;0;1;0;0;1;0;0;1;0;163.761053796259
MAIRAC;1;0;0;0;0;0;1;0;0;1;1;166.862631111998
MALPRU;NA;NA;0;NA;NA;NA;1;1;NA;NA;NA;NA
MATSTR;1;0;0;2;0;1;0;0;0;0;1;147.533038074382
MEDVIR;1;0;0;0;0;0;1;0;0;1;0;121.039325842697
MENCAN;0;0;0;NA;0;0;0;1;0;NA;NA;174.220136124776
MILEFF;0;1;0;NA;0;0;0;0;0;NA;NA;NA
MITREP;0;0;0;2;0;0;1;0;0;1;0;292.833318198302
MONTRO;1;0;0;2;0;0;0;0;1;NA;NA;NA
Morus.sp.;0;0;0;NA;0;0;1;1;0;NA;NA;NA
OCLACU;NA;NA;0;NA;NA;NA;NA;NA;NA;1;1;NA
ONOSEN;1;0;0;NA;0;1;0;0;0;1;1;NA
ORYASP;1;0;0;1;0;0;0;0;0;1;0;245.180303731433
ORYRAC;1;0;0;NA;NA;NA;NA;NA;1;NA;NA;196.164383561644
OSMCIN;1;0;0;NA;NA;1;NA;NA;NA;0;1;NA
OSMOCLA;0;1;0;NA;0;0;0;0;0;NA;NA;145.844515711593
OSMREG;1;0;0;2;0;1;0;0;0;1;0;NA
OSMUCLA;1;0;0;2;0;1;0;0;0;0;1;156.955241460542
