;true_code;espece;genus;id.level;arbre;eee;exotic
183;SMIHER;Smilax herbacea;Smilax;species;0;0;0
184;SOLCAE;Solidago caesia;Solidago;species;0;0;0
185;SOLDUL;Solanum dulcamara;Solanum;species;0;0;1
186;SOLFLE;Solidago flexicaulis;Solidago;species;0;0;0
187;SOLGIG;Solidago gigantea;Solidago;species;0;0;0
188;SOLHIS;Solidago hispida;Solidago;species;0;0;0
189;SOLPUB;Solidago puberula;Solidago;species;0;0;0
190;SOLRUG;Solidago rugosa;Solidago;species;0;0;0
191;Sorbus sp.;Sorbus sp.;Sorbus;genus;0;0;NA
192;SORDEC;Sorbus decora;Sorbus;species;0;0;0
193;SORHYB;Sorbus hybrida;Sorbus;species;0;0;1
194;STATRI;Staphylea trifolia;Staphylea;species;0;0;1
195;Streptopus sp.;Streptopus sp.;Streptopus;genus;0;0;0
196;STRLAN;Streptopus lanceolatus;Streptopus;species;0;0;0
197;SYMCOR;Symphyotrichum cordifolium;Symphyotrichum;species;0;0;0
198;SYMLAN;Symphyotrichum lanceolatum;Symphyotrichum;species;0;0;0
199;SYMLAT;Symphyotrichum lateriflorum;Symphyotrichum;species;0;0;0
200;Symphiotrichum sp.;Symphyotrichum sp.;Symphyotrichum;genus;0;0;NA
201;SYMRAC;Symphyotrichum racemosum;Symphyotrichum;species;0;0;1
202;Taraxacum sp.;Taraxacum sp.;Taraxacum;genus;0;0;NA
203;TAROFF;Taraxacum officinale;Taraxacum;species;0;0;1
204;TAXCAN;Taxus canadensis;Taxus;species;0;0;0
205;Thalictrum sp.;Thalictrum sp.;Thalictrum;genus;0;0;NA
206;THADIO;Thalictrum dioicum;Thalictrum;species;0;0;0
207;THENOV;Parathelypteris noveboracensis;Thelypteris;species;0;0;0
208;TIACOR;Tiarella cordifolia;Tiarella;species;0;0;0
209;TILAME;Tilia americana;Tilia;species;1;0;0
210;TILCOR;Tilia cordata;Tilia;species;2;0;1
211;TRIBOR;Lysimachia borealis;Lysimachia;species;0;0;0
212;TRIERE;Trillium erectum;Trillium;species;0;0;0
213;TRIGRA;Trillium grandiflorum;Trillium;species;0;0;0
214;Trillium sp.;Trillium sp.;Trillium;genus;0;0;0
215;TRIUND;Trillidium undulatum;Trillium;species;0;0;0
216;TSUCAN;Tsuga canadensis;Tsuga;species;1;0;0
217;ULMAME;Ulmus americana;Ulmus;species;1;0;0
218;ULMRUB;Ulmus rubra;Ulmus;species;1;0;0
219;Ulmus sp.;Ulmus sp.;Ulmus;genus;1;0;0
220;UVUGRA;Uvularia grandiflora;Uvularia;species;0;0;0
221;VACANG;Vaccinium angustifolium;Vaccinium;species;0;0;0
222;VALOFF;Valeriana officinalis;Valeriana;species;0;1;1
223;VEROFF;Veronica officinalis;Veronica;species;0;0;1
224;VERSTR;Verbena stricta;Verbena;species;0;0;0
225;VIBCAS;Viburnum nudum var. cassinoides;Viburnum;species;0;0;0
226;VIBLAN;Viburnum lantanoides;Viburnum;species;0;0;0
227;VIBLEN;Viburnum lentago;Viburnum;species;0;0;0
228;Viburnum sp.;Viburnum sp.;Viburnum;genus;0;0;NA
229;VIBX;Viburnum X;Viburnum;species;0;0;NA
230;VIOCAN;Viola canadensis;Viola;species;0;0;0
231;Viola sp.;Viola sp.;Viola;genus;0;0;NA
232;VIOMAC;Viola macloskeyi;Viola;species;0;0;0
233;VIOPUB;Viola pubescens;Viola;species;0;0;0
234;VIOSOR;Viola sororia;Viola;species;0;0;0
235;VITRIP;Vitis riparia;Vitis;species;0;0;0
236;ZANAME;Zanthoxylum americanum;Zanthoxylum;species;0;0;0
237;ZIZAUR;Zizia aurea;Zizia;species;0;0;0
