;true_code;espece;genus;id.level
211;TRIBOR;Lysimachia borealis;Lysimachia;species
212;TRIERE;Trillium erectum;Trillium;species
213;TRIGRA;Trillium grandiflorum;Trillium;species
214;Trillium sp.;Trillium sp.;Trillium;genus
215;TRIUND;Trillidium undulatum;Trillium;species
216;TSUCAN;Tsuga canadensis;Tsuga;species
217;ULMAME;Ulmus americana;Ulmus;species
218;ULMRUB;Ulmus rubra;Ulmus;species
219;Ulmus sp.;Ulmus sp.;Ulmus;genus
220;UVUGRA;Uvularia grandiflora;Uvularia;species
221;VACANG;Vaccinium angustifolium;Vaccinium;species
222;VALOFF;Valeriana officinalis;Valeriana;species
223;VEROFF;Veronica officinalis;Veronica;species
224;VERSTR;Verbena stricta;Verbena;species
225;VIBCAS;Viburnum nudum var. cassinoides;Viburnum;species
226;VIBLAN;Viburnum lantanoides;Viburnum;species
227;VIBLEN;Viburnum lentago;Viburnum;species
228;Viburnum sp.;Viburnum sp.;Viburnum;genus
229;VIBX;Viburnum X;Viburnum;species
230;VIOCAN;Viola canadensis;Viola;species
231;Viola sp.;Viola sp.;Viola;genus
232;VIOMAC;Viola macloskeyi;Viola;species
233;VIOPUB;Viola pubescens;Viola;species
234;VIOSOR;Viola sororia;Viola;species
235;VITRIP;Vitis riparia;Vitis;species
236;ZANAME;Zanthoxylum americanum;Zanthoxylum;species
237;ZIZAUR;Zizia aurea;Zizia;species
